crop,herbicide or insecticide,stage,chemical1,chemical2,mixing ratio
wheat,herbicide and insecticide,post,Thiamethoxam,Metsulfuron,60-80gm/acre + 2-4 gm/acre
wheat,herbicide and insecticide,post,Metsulfuron,Thiamethoxam,2-4gm/acre + 60-80gm/acre
maize,insecticide,post,Monocrotophos,nochem,500-600ml/acre
maize,insecticide,post,Chlorantraniliprole,nochem,60-80ml/acre
maize,insecticide,pre,Chlorpyrifos,nochem,1000-1500ml/acre
maize,insecticide,pre,Imidacloprid,nochem,40-50ml/acre
maize,insecticide,pre,Lambda-cyhalothrin,nochem,50-60ml/acre
maize,herbicide,pre,Atrazine,nochem,750-1500gm/acre
maize,herbicide,post,2/4-D Amine salt,nochem,1000-1500gm/acre
maize,herbicide,pre,Pendimethalin,nochem,2000-2500gm/acre
maize,herbicide and insecticide,post,Chlorpyrifos,Atrazine,500-600ml/acre + 1000-1500ml/acre
maize,herbicide and insecticide,post,Atrazine,Chlorpyrifos,1000-1500gm/acre + 500-600ml/acre
maize,herbicide and insecticide,pre,Imidacloprid,Pendimethalin,70-80ml/acre + 1000-1000gm/acre
maize,herbicide and insecticide,pre,Pendimethalin,Imidacloprid,1000-1500gm/acre + 70-80ml/acre
maize,herbicide and insecticide,post,Lambda-cyhalothrin,2/4-D,50-60ml/acre + 500-600ml/acre
maize,herbicide and insecticide,post,2/4-D,Lambda-cyhalothrin,500-600ml/acre + 50-60ml/acre
groundnut,herbicide,pre,Ametryn,nochem,0.6-0.8kg/acre
groundnut,insecticide,post,Chlorpyrifos,nochem,400-450ml/acre
groundnut,herbicide,pre,Diclosulam,nochem,10.6-10.6 gm/acre
groundnut,herbicide,pre,Fenoxaprop-p-ethyl,nochem,354.1ml/acre
groundnut,herbicide,pre,Imazethapyr,nochem,0.4-0.60l/acre
groundnut,herbicide,pre,Oxyflourfen,nochem,171.9-343.9ml/acre
groundnut,herbicide and insecticide,pre,Ametryn,Thiamethoxam ,0.6-0.80kg/acre + 8.09-10.11g/acre
groundnut,herbicide and insecticide,pre,Thiamethoxam,Ametryn ,8.09-10.11g/acre + 0.6-0.80kg/acre
groundnut,insecticide,post,Chlorpyrifos ,Thiamethoxam ,8.09-10.11g/acre
groundnut,herbicide and insecticide,post,Diclosulam,Thiamethoxam,10.6-12.5gm/acre + 0.01-0.016kg/acre
groundnut,herbicide and insecticide,pre,Fenoxaprop-p-ethyl,Thiamethoxam,354.1ml/acre + 0.01-0.016kg/acre
groundnut,herbicide and insecticide,pre,Imazethapyr ,Thiamethoxam,0.4-0.6l/acre + 0.01-0.016kg/acre
mango,herbicide,pre,Glyphosate,nochem,0.4-0.6l/acre
mango,insecticide,post,Imidachloprid,nochem,0.02-0.03l/acre
mango,insecticide,post,Monocrotophos,nochem,0.012-0.016 l/acre
mango,herbicide,pre,Pendimethalin,nochem,0.8-1.01l/acre
mango,insecticide,pre,Thiamethoxam,nochem,0.012-0.016kg/acre
mango,herbicide,pre,Triclopyr,nochem,0.6-0.8l/acre
mango,herbicide and insecticide,pre,Ametryn ,Thiamethoxam ,0.6-0.8kg/acre + 8.09-10.11g/acre
mango,herbicide and insecticide,pre,Thiamethoxam,Ametryn,8.09-10.11g/acre +  0.6-0.8kg/acre
mango,herbicide and insecticide,pre,Imazethapyr ,Thiamethoxam,0.4-0.60l/acre + 0.012-0.016kg/acre
mango,herbicide and insecticide,pre,Pendimethalin,Thiamethoxam,0.8-1.01l/acre + 0.012-0.016kg/acre
sunflower,herbicide,pre,Atrazine,nochem,0.6-0.8kg/acre
sunflower,herbicide,pre,Imazapyr,nochem,0.4-0.60l/acre
sunflower,herbicide,pre,Oxyflourfen,nochem,171.9-343.9ml/acre
sunflower,insecticide,post,Thiamethoxam,nochem,0.012-0.016kg/acre
sunflower,insecticide,post,Chlorpyrifos,nochem,400-450ml/acre
sunflower,insecticide,post,Deltamethrin,nochem,0.010-0.015l/acre
sunflower,herbicide and insecticide,pre,Atrazine ,Thiamethoxam,0.6-0.8kg/acre + 0.012-0.016kg/acre
sunflower,herbicide and insecticide,pre,Imazapyr ,Thiamethoxam,0.4-0.60l/acre + 0.012-0.016kg/acre
sunflower,herbicide and insecticide,pre,Oxyflourfen ,Thiamethoxam,171.9-343.9ml/acre + 0.012-0.016kg/acre
sunflower,insecticide,post,Thiamethoxam,Chlorpyrifos,0.012-0.016kg/acre + 400-450ml/acre
sunflower,insecticide,post,Thiamethoxam,Deltamethrin,0.012-0.016kg/acre + 0.010-0.015l/acre
groundnut,herbicide and insecticide,pre,Thiamethoxam,Ametryn,8.09-10.11g/acre + 0.6-0.80kg/acre
groundnut,herbicide and insecticide,pre,Ametryn,Thiamethoxam,0.6-0.80kg/acre + 8.09-10.11g/acre
groundnut,insecticide,post,Thiamethoxam,Chlorpyrifos,8.09-10.11g/acre
groundnut,herbicide and insecticide,post,Thiamethoxam,Diclosulam,0.01-0.016kg/acre + 10.6-12.5gm/acre
groundnut,herbicide and insecticide,pre,Thiamethoxam,Fenoxaprop-p-ethyl,0.01-0.016kg/acre + 354.1ml/acre
groundnut,herbicide and insecticide,pre,Thiamethoxam,Imazethapyr,0.01-0.016kg/acre + 0.4-0.6l/acre
mango,herbicide and insecticide,pre,Thiamethoxam,Amtryn,8.09-10.11g/acre + 0.6-0.8kg/acre
mango,herbicide and insecticide,pre,Amtryn,Thiamethoxam,0.6-0.8kg/acre + 8.09-10.11g/acre
mango,herbicide and insecticide,pre,Thiamethoxam,Imazethapyr,0.012-0.016kg/acre + 0.4-0.60l/acre
mango,herbicide and insecticide,pre,Thiamethoxam,Pendimethalin,0.012-0.016kg/acre + 0.8-1.01l/acre
sunflower,herbicide and insecticide,pre,Thiamethoxam,Atrazine,0.012-0.016kg/acre + 0.6-0.8kg/acre
sunflower,herbicide and insecticide,pre,Thiamethoxam,Imazapyr,0.012-0.016kg/acre + 0.4-0.60l/acre
sunflower,herbicide and insecticide,pre,Thiamethoxam,Oxyflourfen,0.012-0.016kg/acre + 171.9-343.9ml/acre
sunflower,insecticide,post,Chlorpyrifos,Thiamethoxam,400-450ml/acre + 0.012-0.016kg/acre
sunflower,insecticide,post,Deltamethrin,Thiamethoxam,0.010-0.015l/acre + 0.012-0.016kg/acre
